name;source;source_url;category;glass;instructions;ingredient;amount_ml;note
Gin & Tonic;The 66 PDF;;;Highball;Build. Garnish: Lime wedge. Optional: Vodka & Tonic: Replace gin with vodka;Gin;40;
Gin & Tonic;The 66 PDF;;;Highball;;Tonic;;fill
Screwdriver;The 66 PDF;;;Highball;Build. Garnish: None. Optional: Harvey Wallbanger: Add a float of Galliano;Vodka;40;
Screwdriver;The 66 PDF;;;Highball;;Orange juice;;fill
Cuba Libre;The 66 PDF;;;Highball;Build. Garnish: Lime wedge. Optional: Cubata: Replace light rum with dark rum;Light rum;40;
Cuba Libre;The 66 PDF;;;Highball;;Fresh lime juice;10;
Cuba Libre;The 66 PDF;;;Highball;;Coca-Cola;;fill
Tequila Sunrise;The 66 PDF;;;Highball;Build & Sink. Garnish: None. Optional: None;Tequila;40;
Tequila Sunrise;The 66 PDF;;;Highball;;Orange juice;;fill
Tequila Sunrise;The 66 PDF;;;Highball;;Grenadine;10;sink
Rusty Nail;The 66 PDF;;;Rocks;Build. Garnish: Lemon zest. Optional: None;Grant's Scotch Whisky;30;
Rusty Nail;The 66 PDF;;;Rocks;;Drambuie;30;
Godfather;The 66 PDF;;;Rocks;Build. Garnish: None. Optional: Godmother: Replace Scotch whisky with vodka;Grant's Scotch Whisky;30;
Godfather;The 66 PDF;;;Rocks;;DeKuyper Amaretto;30;
Black Russian;The 66 PDF;;;Rocks;Build. Garnish: None. Optional: None;Vodka;40;
Black Russian;The 66 PDF;;;Rocks;;Kahlua;20;
White Russian;The 66 PDF;;;Rocks;Build. Garnish: None. Optional: Replace milk with cream or half and half. Colorado Bulldog: Top with Coca-Cola;Vodka;40;
White Russian;The 66 PDF;;;Rocks;;Kahlua;20;
White Russian;The 66 PDF;;;Rocks;;Milk;;fill
Moscow Mule;The 66 PDF;;;Highball / Copper Mule;Build. Garnish: Lime wedge. Optional: Missouri Mule: Replace vodka with Southern Comfort. Jamaican Mule: Replace vodka with spiced rum.;Vodka;40;
Moscow Mule;The 66 PDF;;;Highball / Copper Mule;;Fresh lime juice;20;
Moscow Mule;The 66 PDF;;;Highball / Copper Mule;;Ginger beer;;fill
Woo Woo;The 66 PDF;;;Highball;Build. Garnish: Lime wedge. Optional: Cape Codder: Replace peach liqueur with vodka;Vodka;20;
Woo Woo;The 66 PDF;;;Highball;;DeKuyper Peachtree;20;
Woo Woo;The 66 PDF;;;Highball;;Cranberry juice;;fill
Seabreeze;The 66 PDF;;;Highball;Build & Float. Garnish: None. Optional: Bay Breeze: Replace grapefruit with pineapple. Madras: Replace grapefruit juice with orange juice.;Vodka;40;
Seabreeze;The 66 PDF;;;Highball;;Cranberry juice;60;
Seabreeze;The 66 PDF;;;Highball;;Grapefruit juice;40;
Screaming Orgasm;The 66 PDF;;;Rocks;Shake & Strain. Garnish: None. Optional: Replace milk with cream or half and half. Orgasm: No vodka.;Vodka;10;
Screaming Orgasm;The 66 PDF;;;Rocks;;Kahlua;10;
Screaming Orgasm;The 66 PDF;;;Rocks;;DeKuyper Amaretto;10;
Screaming Orgasm;The 66 PDF;;;Rocks;;Baileys;10;
Screaming Orgasm;The 66 PDF;;;Rocks;;Milk;40;
El Diablo;The 66 PDF;;;Highball;Build. Garnish: Lime wedge. Optional: None;Tequila;30;
El Diablo;The 66 PDF;;;Highball;;DeKuyper Creme de Cassis;10;
El Diablo;The 66 PDF;;;Highball;;Fresh lime juice;10;
El Diablo;The 66 PDF;;;Highball;;Ginger ale;;fill
Sex on the Beach;The 66 PDF;;;Highball;Build. Garnish: None. Optional: None;Vodka;20;
Sex on the Beach;The 66 PDF;;;Highball;;DeKuyper Peachtree;20;
Sex on the Beach;The 66 PDF;;;Highball;;Cranberry juice;50;
Sex on the Beach;The 66 PDF;;;Highball;;Orange juice;50;
Cosmopolitan;The 66 PDF;;;Chilled Martini / Coupe;Shake & Fine Strain. Garnish: Orange zest. Optional: Flamed orange zest;Citron vodka;40;
Cosmopolitan;The 66 PDF;;;Chilled Martini / Coupe;;Cointreau;20;
Cosmopolitan;The 66 PDF;;;Chilled Martini / Coupe;;Fresh lime juice;10;
Cosmopolitan;The 66 PDF;;;Chilled Martini / Coupe;;Cranberry juice;30;
Daiquiri;The 66 PDF;;;Chilled Martini / Coupe;Shake & Fine Strain. Garnish: None. Optional: Fresh Fruit Daiquiri: Add fruit and fruit liqueur.;Light rum;60;
Daiquiri;The 66 PDF;;;Chilled Martini / Coupe;;Fresh lime juice;30;
Daiquiri;The 66 PDF;;;Chilled Martini / Coupe;;Sugar syrup;15;
